01/12/2020;16;Aerospatiale;False;Squirrel AS.350 B;1
01/12/2020;16;Airbus;Air Arabia Maroc;A320 214SL;1
01/12/2020;16;Airbus;False;A319 112;1
01/12/2020;16;Airbus;False;A320 214;1765
01/12/2020;16;Airbus;False;A320 216SL;1767
01/12/2020;16;Airbus;False;A320 232SL;1
01/12/2020;16;Airbus;False;A321 211;1
01/12/2020;16;Airbus;False;Airbus A320 214SL;1
01/12/2020;16;Airbus;False;Airbus A321 211;1
01/12/2020;16;Airbus Industrie;British Airways;A320-251N;1
01/12/2020;16;Aquila;False;AT-01 A-210;1
01/12/2020;16;Beech;Dassault Aviation;King Air E90;1
01/12/2020;16;Beech;False;Baron 58;1
01/12/2020;16;Beech Aircraft Corporation;False;BEECH 200 Super Kingair;1
01/12/2020;16;Boeing;False;737NG 7K2/W;1
01/12/2020;16;Boeing;False;737NG 85P/W;1
01/12/2020;16;Boeing;False;737NG 8B6/W;1
01/12/2020;16;Boeing;False;737NG 8K2/W;1
